sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63
C3/C3dc,492632,-0.833047788024917,0.5633539407006894,-0.02897096949140203,0.09728110916043371,-2.1161697621658042e-05,-0.026678297888067384,-0.025314354853122892,0.008571589367521896,0.02047358004425572,0.010875106310220546,-0.021296776003956044,-0.019454319370414915,0.04712094261072125,-0.04812183875777066,-0.03312554718380345,0.050101130818758985,0.042849168979045595,0.005108011667949757,-0.006483044790940182,0.00552906145573451,0.007073677389341982,0.008519353177229733,-0.010057575068876693,0.007082456996736816,-0.006120177208287169,-0.002104090213859304,-0.0011331563088565035,-0.0020803728266786583,0.00315125638199329,2.5601379209407674e-05,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1b/C3,493145,-0.601595003447124,0.3508285118995964,-0.061158680235327494,0.035934873677153464,-1.83255979836068e-05,-0.0003638320853104563,0.015058957433720247,0.028598082005297284,0.0024829481219519963,-0.009552550383915578,0.03445079326721336,-0.02124372220871027,-0.026624313446320144,-0.00010400207065053846,-0.009339387074868533,-0.009353588114729819,0.0021400392105654733,-0.009181897520866285,0.00013476339994739387,0.004248959909862261,0.014094191522355819,0.0021274996311088346,-0.003920687352266945,-0.00986446252333827,0.011792669936551477,-0.00021074756780679863,0.013108750749442327,0.015278903519492334,0.0005101753093401034,0.00014451615550690523,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C115d,492123,-0.8825646450727442,0.605876113945084,-0.013765975195811676,0.09971821243105666,-1.4628253572920958e-05,-0.02563021552335054,-0.019087402043339814,-0.01551798007539522,0.014951111353031303,-0.013925115844250031,-0.01642355734653564,0.06574238051038268,-0.014651126873804316,0.05388002650752955,0.04133237102418992,-0.04037320220112346,-0.03774669460978282,0.005941236309122745,0.0013496757116833315,-0.0050049302576137,-0.007315597974130581,-0.004038355192885393,0.007055541962899086,-0.0014869082621025167,0.0004943124230218794,0.00030958198358985574,-0.0005939928187149318,-0.0004897626214545827,-0.00021901418883099822,2.592110506601295e-07,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1-C42.2-C3-C1b-C3cg,491768,0.10185419227835685,0.13164435455701906,0.06309775630501825,-0.020218948558733133,2.039522608323576e-05,0.007040770956738252,0.023275108477465948,0.036322287472383544,0.08494077000897321,-0.008948215503828719,0.028745973390013006,0.02440213095313885,0.004360132250698767,-0.012516056620437014,-0.0022747255173476027,-0.005167819703770825,0.008027976657579703,-0.010576262876223905,0.0009209336351851598,0.014448776967376634,-0.006151378432129888,-0.022613507268635556,0.003693070426319789,-0.00023864074164671375,-0.0012646480699391805,0.0018753081851418654,0.00398235517875651,0.005136252264784312,-9.55628344211422e-05,-0.00010923745493438354,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2/C1/C42b-C1b-C1az-C1au-C3,491771,-0.4004039059383366,-0.29931738343152786,0.1173102201000329,-0.07749612366709278,4.793217793221409e-05,0.04210516162336925,0.11300573592404084,-0.0011124410929030716,0.024959260893478163,-0.05302709673347241,0.016144851897077452,-0.02921134566097091,0.03576057873589047,0.0021358668835548336,-0.019199140969893082,-0.006621510315848121,0.016456227625722863,0.008350562463796765,0.029910789037592974,-0.015061351340701318,0.009139747661861175,0.0042571529638324515,0.004423144422858697,-0.009981707236311423,-0.0007795877873667978,0.00045688647857996254,0.001519893135443502,-0.0008554241064733831,7.113221337274697e-05,2.7991303960255115e-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C1/C42.2-C1b-C1au-C3-C115k,492288,-0.40361746360223605,-0.17646464780747398,0.09727138931103174,-0.08277456451065436,3.215859452358063e-05,0.0353992828842146,-0.020870217542841733,-0.009701371713243258,-0.030748318855734633,-0.012035983151888889,0.001368165733047986,-0.0447936820033743,-0.0002945918759139154,0.0034370771553207517,-0.003342561987625247,0.029141591418665663,-0.031050308275981844,-0.0005471948481471113,-0.03140252572000869,0.015154641902466615,0.020743489607062317,0.0009075529238036555,0.017670275212543395,-0.0033982619926010297,0.0010794270223364573,-0.00018034736875578822,-0.004129224509563904,0.00124873417653146,-0.00047870509918166896,-0.00016162009262315807,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3/C42.2,492292,-0.4898426318303387,0.2464175496193164,-0.0663068686127542,-0.0028528139766043985,-1.211405900452561e-05,0.006831704146018266,0.018190328310543687,0.07939399678058515,0.03132654714958266,-0.02036974996314377,0.0908047177620157,-0.0184979433160534,-0.0532621419410409,-0.010170253825648389,-0.013825724992541848,0.004644774850042141,-0.024568121574749732,-0.004082902231991266,0.007765729052812884,-0.004820152063345245,-0.011862905410067796,-0.002237579841758336,-0.010684617962466472,0.011801378823496493,-0.011467663921062769,0.0018242879155521562,-0.00852063236279787,-0.011105146439799743,0.0018061135369823627,-8.539837312619228e-07,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,493380,-0.7742846110522993,0.5108307706491807,-0.037687766779757145,0.08558603982462733,-2.1201597890888555e-05,-0.021391492102997154,-0.017181706014037196,0.011564991023770555,0.018786149573797886,0.002224854079707199,-0.01168100104418408,0.0009843785786450053,0.021390235511335075,-0.007786755570627543,-0.0011194436075170956,0.004389530406295848,-0.0018108748585537405,0.00733609727570983,-0.002477364922494519,-0.004292396675326802,-0.008015845228747213,-0.004318337791432097,0.014835946225441219,-0.003863953792386994,0.0009707748172299616,5.5652244490090494e-06,-0.004300980704143722,-0.004112294228173417,-0.004457475325794186,-0.000165511084961564,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p,491849,-0.14611042412321226,0.18955680237720413,0.12625885630160932,-0.1451548847041153,6.085010727323371e-05,0.02815578759533001,-0.12806317769828068,0.05306598742740886,-0.07923700099499066,-0.01798722562746696,0.0019305576955573945,-0.03933909199099999,-0.012164706522859337,0.011992907085145185,-0.01899936218337838,-0.016459162636421935,0.006091523981505769,-0.013430663804607447,0.0018901607000391346,0.006886858375149955,0.004388766645457596,-0.017990079833003443,-0.007179961875743877,-0.0023880570087460177,0.004387097309552011,0.005601960307009767,-0.002855220096569079,0.00336005241362334,-0.0010465364148735583,0.0001305296581725157,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2/C3-C1-C1b-C1au,491869,-0.46275241390572,-0.05331799170176316,0.0872208662509847,-0.04108115003981939,6.534085371990844e-06,0.005861191273369115,-0.09103574711006182,0.04798296360349533,0.06130687651788252,0.05687497336690152,0.051091488481460605,0.0447633149447416,-0.002307492167810868,-0.021742237461671757,-0.013265432972674558,-0.0038873297085285103,0.006549618546957722,0.00756375280136222,0.00677853541528591,0.008955321774528534,0.005501306453121268,-0.004440294953266509,-0.001070205910998642,-0.005231468861085959,0.005740820579782143,0.0018710596239388017,0.0010896355470146786,0.003512239863190467,-0.0017316955302417727,4.879042851353059e-06,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2/C1/C1b-C1j-C1au-C3,491880,-0.3830085652104956,-0.19941221107744492,0.06420865562630365,-0.0428613579271113,1.5946812995678248e-05,0.0305329602318969,0.01795465707101362,-0.04180357094726677,-0.008997308691168741,0.0015658428200500387,0.010544732476872157,-0.0069458149969035335,-0.015751181442304835,-0.0306902132081135,0.018637445696256034,0.04160161886389246,0.0020715556924270273,0.01292478287159199,-0.01185945395903167,-0.023366913511137198,-0.03543485565666252,-0.013813174485802139,0.005834500626908831,0.001664434739474019,0.005754731109189388,-0.0010085036653296262,0.003358930072951273,0.0023949264971566023,-0.003270515707797935,3.802395559961757e-05,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C1/C42.2/C1b/C1j-C1au-C3-C115l,492460,-0.44169080422775314,-0.09359952715359181,0.08960579900164814,-0.09293811822361449,2.8786113298879263e-05,0.041354759436417365,-0.055180105840375526,-0.026784415613107914,-0.06162540195811182,0.11712702198065235,0.018402083428288807,-0.05857040909483199,0.006011050644324236,0.00426535975519167,-0.004044110561676886,-0.041865632136068996,0.007458620562990416,-0.015360349956919213,0.005249110449238235,-0.011315548634060597,-0.012228618838910698,0.008449483617387914,-0.0027446796698951514,0.004554122871034167,-0.001214859485148296,0.0028733183321840816,0.0006204986561130545,-0.004188319789347998,0.0020624450077064947,0.00015138861277647422,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1/C42.2-C1b-C3-C3cg-C45c,492017,-0.09197333388318651,0.16049965119431886,0.08144124052936652,-0.08375374900870912,2.6070111584339607e-05,0.018502258527214745,-0.085805122040761,0.01716339110464189,-0.03968695223220574,-0.04027953040045697,-0.01605651016459453,0.05151775112209514,-0.03233061425015942,-0.01597199009850523,0.010299921224032919,0.01599565437224751,0.02246324084070057,-0.003854117434066472,0.011184428539234563,-0.0022428568078456733,0.0029272723515944535,0.014233067443143652,0.0016903502789626349,0.002706480243320018,-0.007499008555058818,-0.008558430806424617,0.006911993157674721,-0.005118797297579325,0.001021827120723161,-0.0002923567697587647,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C3cg-C1b,491691,0.3249816830174913,0.053405868379917606,-0.027748335866033015,0.03727404710766167,3.4159208457155986e-05,0.027651411990959857,0.01872629914787039,0.018563392044914737,-0.03299142871369626,0.0011346469602134656,0.03756795880953486,0.0178501076527286,0.015949385938870703,-0.02310063265274078,-0.004387742078676883,-0.002579788993007751,-0.013010576139624905,-0.005570632003882634,0.0036286164171542776,-0.01361421107903064,-0.000712815965218814,0.0006484970419073161,0.008967229250573003,0.004001372017160284,0.014893176939718129,-0.0015739667082972741,-0.0023423479475181306,0.00042074281045534725,0.0024495512654623955,-0.00043298516872055054,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C42.2/C1-C1b-C3cg-C45c-C115k-C1au,491719,0.07560404012179422,0.11865889902901225,0.10177725877302249,-0.09289308056810947,4.976106062737999e-05,0.028527329928751052,0.026879818469529408,0.004571122500639417,-0.00026724390971431485,-0.01729100659296523,-0.004227455084796654,-0.052305609181211146,0.031594882176920774,0.025322322382873925,-0.006853345900893668,-0.016013617151023934,-0.0008239922590330974,0.006397070003246576,-0.005707460118540582,-0.0027673791002686588,-0.00302096332388003,-0.008757539724779757,0.0016901813222085012,0.004251427263537993,-0.003725172206291827,-0.01231437347202977,0.00395948089939545,-0.009094749383414364,-0.0003712646545948727,-0.0003710388790288043,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C3cg-C1b-C45c-C115k,491720,0.27295031049895657,0.0618646483035928,0.008096155785365223,0.01637988381671847,3.1229574396136614e-05,0.011841048293958226,0.030704951250170618,0.05476436763031369,-0.05024821832939509,0.02334008563419563,-0.0101579358363877,-0.01776215844960381,-0.0019691047840361326,0.006244369373267301,-0.011273165723377915,-0.004483111044972756,-0.01316823632546614,0.01215667420040141,-0.0039037862610627337,0.01905091105301895,-0.005014372158087314,-0.006713400208813001,0.020616759022784058,0.003384721799371672,-0.01484689359880884,0.012104049942096545,-0.001493790116214197,0.0009981417306352137,-0.0015424635263931565,-0.0003719471338498465,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1-C42.2-C1b,491737,0.05843744081237359,0.0913952551916452,0.025871263694055582,-0.027809942955410956,5.41398087456203e-06,0.03145408261883016,0.04156229300970676,-0.040854307254185054,0.01519897103290056,-0.02087162532048088,-0.04377381818301446,0.0030151708040932613,0.025771392271947323,-0.025011081229288825,-0.005208356259800957,-0.018798929239954573,-0.007710546120908471,-0.014264107178177077,0.026282138673457363,0.005422225756831959,-0.0029426799368986924,-0.00020438473567143195,0.002809029883095811,0.003523206451247746,-0.009265131709462675,0.005167518003801381,0.0014939013314450933,-0.0008578875276093919,-0.000836810601143411,-0.00015958677204848607,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1-C42.2-C1b-C3cg-C1au,491763,0.059712898142418765,0.10736915389489429,0.07299592084415632,-0.06387592885782119,2.8427460705560023e-05,0.029806544096570648,0.0429781147669456,-0.009680027204840234,0.024463466277687414,-0.02231373962185064,0.017759474844395825,0.005681270326562148,0.01827498066499733,0.0025986006862259462,-0.021678301086914827,-0.018680165925133923,0.02315120719197602,0.02104430119411211,0.008500541392819064,-0.01701671519582807,0.0012286872942260337,0.008219828082346576,0.003966478155151339,-0.013206812374650172,0.014732326888925475,0.009355694577678262,-0.008996980335477212,-0.00013986561256221913,-0.0023712049315505026,0.0001995732513449412,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C1b-C3cg-C3cw,491765,0.26710161202479255,0.06406360260142516,0.002466993459902115,0.023717571351193005,2.1790283083793833e-05,-8.167362391554733e-05,0.03319240084414973,0.06163660961980415,-0.019410534224195815,0.013622630083103854,0.005778027658361818,0.01388573120693578,-0.009478678887000542,0.020840600255265095,-0.01208541565697937,0.010946399424273856,0.005072925397755616,0.0177559688173091,-0.008165690105122646,0.010686860699353571,-0.012953572001136913,0.029424740361266577,-0.0007471191815473873,-0.004078695741756764,0.004444997170976495,0.013528579846184325,-0.0032665721269126693,0.001193235293944447,0.0019235642624508423,0.0001324329305116043,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C1b-C3cg-C3cw-C45c,491769,0.22852074756765528,0.06279408846650998,0.008810308968991754,0.012165183048137207,9.053623156086431e-06,-0.012274656942170002,0.03090995730406072,0.07043634799724253,-0.011370169716471154,0.017615177680328865,-0.024053561257584045,0.0011274376231395517,-0.01727203911931639,0.02836843655761929,0.00881032948271686,0.016796022965252472,0.010269457503943341,0.00197225929152599,-0.0026879743540593913,-0.0035551654160216857,0.008440999919589761,0.007983721435616672,-0.005724331263762136,0.0013515192640263212,0.0071628836575431945,-0.01695212014828761,-0.0024054746627948363,-0.0029928750428872657,-0.00493431320200269,-0.00016483802780586717,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2-C1b-C1-C42b-C1au,491770,-0.343986076702019,-0.2534719217273517,0.026398229497660936,-0.017527688914451618,4.008644816058818e-06,0.019409762702493456,0.05904910716587961,-0.025949561874192627,0.04945581370116741,-0.0213589808010547,-0.01630999192094043,0.0067871380046233,0.03310923047948281,-0.0013999972907456867,-0.018566312731198086,-0.0218871825927277,0.004549664553186954,-0.026060845807780904,-0.007319958018430282,0.023543882387600662,-0.020836598470843504,-0.015943233847207913,-0.01160402184853286,0.007066966777901858,0.0046854704375789025,-0.0009931173612880905,-0.0016138978049267145,0.0016201353020640504,-0.0030516572628540442,-0.00026016621057284295,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
