"colony","Region","Locality","replicate","Site","Season","ID","Qubit..ng.uL.","species"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6182","25.9","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5851","35.9","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6000","220","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5850","18.9","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6181","245","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6180","92.1","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6001","25.3","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6002","5.06","P.meandrina"
"155","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5852","34.7","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6184","33.2","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6183","53.6","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6005","5.36","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6185","65.7","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6003","91.4","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6004","45.8","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5853","6.48","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5854",">60","P.meandrina"
"156","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5855","29.2","P.meandrina"
"157","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6006","1.35","P.meandrina"
"157","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6188","22.6","P.meandrina"
"157","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5857",">60","P.meandrina"
"157","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6187","33.3","P.meandrina"
"157","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5858","34.2","P.meandrina"
"157","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6186","13.8","P.meandrina"
"157","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6008","45.8","P.meandrina"
"157","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5856","45.6","P.meandrina"
"157","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6007","11.3","P.meandrina"
"158","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6190","38.3","P.meandrina"
"158","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6189","113","P.meandrina"
"158","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5860","7.67","P.meandrina"
"158","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5859","50","P.meandrina"
"158","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6010","230","P.meandrina"
"158","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6011","201","P.meandrina"
"158","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6009","203","P.meandrina"
"158","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6191","15","P.meandrina"
"158","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5861","40.9","P.meandrina"
"159","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5864","30.6","P.verrucosa"
"159","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5863",">60","P.verrucosa"
"159","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6192","178","P.verrucosa"
"159","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6193","76.5","P.verrucosa"
"159","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5862",">60","P.verrucosa"
"159","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6013","80.3","P.verrucosa"
"159","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6014","54.6","P.verrucosa"
"159","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6012","245","P.verrucosa"
"159","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6194","223","P.verrucosa"
"165","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6196","248","P.meandrina"
"165","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6195","208","P.meandrina"
"165","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6197","65","P.meandrina"
"165","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5865","52","P.meandrina"
"165","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5866",">60","P.meandrina"
"165","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6017","1.47","P.meandrina"
"165","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6015","78.2","P.meandrina"
"165","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6016","72","P.meandrina"
"165","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5867","27","P.meandrina"
"166","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6018","84.8","P.meandrina"
"166","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6019","36.8","P.meandrina"
"166","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6020","36.5","P.meandrina"
"166","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6199","253","P.meandrina"
"166","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6200","386","P.meandrina"
"166","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5870","34.5","P.meandrina"
"166","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5868","44.1","P.meandrina"
"166","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6198","305","P.meandrina"
"166","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5869",">60","P.meandrina"
"167","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6202","261","P.verrucosa"
"167","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6201","241","P.verrucosa"
"167","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6022","149","P.verrucosa"
"167","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6023","176","P.verrucosa"
"167","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6203","124","P.verrucosa"
"167","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5871","39.9","P.verrucosa"
"167","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5872",">60","P.verrucosa"
"167","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5873","39.5","P.verrucosa"
"167","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6021","141","P.verrucosa"
"168","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6025","50","P.meandrina"
"168","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6026","27.3","P.meandrina"
"168","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5875","24.9","P.meandrina"
"168","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6024","600","P.meandrina"
"168","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5876","38.5","P.meandrina"
"168","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6204","51.8","P.meandrina"
"168","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6205","39.4","P.meandrina"
"168","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6206","279","P.meandrina"
"168","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5874","30.9","P.meandrina"
"169","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","ML6029","600","P.meandrina"
"169","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Wet","ML6027","600","P.meandrina"
"169","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Upwelling","ML5879","41.6","P.meandrina"
"169","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","ML6207","218","P.meandrina"
"169","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","ML6208","447","P.meandrina"
"169","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","ML6028","600","P.meandrina"
"169","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling","ML5877","40.8","P.meandrina"
"169","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","ML5878",">60","P.meandrina"
"169","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","ML6209","110","P.meandrina"
"175","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Wet","ML6088","404","P.verrucosa"
"175","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Wet","ML6089","325","P.verrucosa"
"175","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Non-upwelling","ML6269","62.3","P.verrucosa"
"175","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Upwelling","ML5882","157","P.verrucosa"
"175","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Wet","ML6087","172","P.verrucosa"
"175","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","ML5881","28.4","P.verrucosa"
"175","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Upwelling","ML5880","29.4","P.verrucosa"
"175","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Non-upwelling","ML6268","25","P.verrucosa"
"175","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Non-upwelling","ML6267","85.6","P.verrucosa"
"176","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Wet","ML6085","218","P.meandrina"
"176","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Non-upwelling","ML6265","37.7","P.meandrina"
"176","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Non-upwelling","ML6266","23.9","P.meandrina"
"176","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","ML5884","44.3","P.meandrina"
"176","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Upwelling","ML5885","60","P.meandrina"
"176","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Non-upwelling","ML6264","41.1","P.meandrina"
"176","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Upwelling","ML5883","32.1","P.meandrina"
"176","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Wet","ML6084","570","P.meandrina"
"176","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Wet","ML6086","326","P.meandrina"
"177","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Wet","ML6081","530","P.meandrina"
"177","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Wet","ML6082","600","P.meandrina"
"177","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Wet","ML6083","89.5","P.meandrina"
"177","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Upwelling","ML5886","41","P.meandrina"
"177","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Upwelling","ML5888","23.1","P.meandrina"
"177","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","ML5887","41.8","P.meandrina"
"177","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Non-upwelling","ML6262","236","P.meandrina"
"177","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Non-upwelling","ML6263","191","P.meandrina"
"177","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Non-upwelling","ML6261","103","P.meandrina"
"178","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Non-upwelling","ML6260","115","P.meandrina"
"178","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Wet","ML6080","287","P.meandrina"
"178","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Upwelling","ML5891","24.1","P.meandrina"
"178","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Wet","ML6079","62.3","P.meandrina"
"178","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","ML5890","25.4","P.meandrina"
"178","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Non-upwelling","ML6259","358","P.meandrina"
"178","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Upwelling","ML5889","42.7","P.meandrina"
"178","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Non-upwelling","ML6258","393","P.meandrina"
"178","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Wet","ML6078","237","P.meandrina"
"179","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","ML5893","29.4","P.verrucosa"
"179","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Wet","ML6076","136","P.verrucosa"
"179","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Non-upwelling","ML6256","46.8","P.verrucosa"
"179","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Non-upwelling","ML6257","147","P.verrucosa"
"179","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Wet","ML6077","86.7","P.verrucosa"
"179","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Upwelling","ML5892","35.9","P.verrucosa"
"179","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Wet","ML6075","24.8","P.verrucosa"
"179","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Upwelling","ML5894","7.75","P.verrucosa"
"179","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Non-upwelling","ML6255","89.3","P.verrucosa"
"185","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Non-upwelling","ML6227","200","P.meandrina"
"185","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Upwelling","ML5836","25.1","P.meandrina"
"185","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Non-upwelling","ML6225","349","P.meandrina"
"185","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Non-upwelling","ML6226","140","P.meandrina"
"185","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Wet","ML6045","30.7","P.meandrina"
"185","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Wet","ML6046","46.3","P.meandrina"
"185","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Upwelling","ML5837","20.8","P.meandrina"
"185","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Wet","ML6047","32.6","P.meandrina"
"185","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Upwelling","ML5835","40.1","P.meandrina"
"186","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Upwelling","ML5839","33.6","P.meandrina"
"186","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Non-upwelling","ML6228","389","P.meandrina"
"186","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Non-upwelling","ML6230","570","P.meandrina"
"186","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Wet","ML6048","49.4","P.meandrina"
"186","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Upwelling","ML5840","32.8","P.meandrina"
"186","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Wet","ML6049","50","P.meandrina"
"186","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Non-upwelling","ML6229","600","P.meandrina"
"186","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Upwelling","ML5838","34.6","P.meandrina"
"186","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Wet","ML6050",">60","P.meandrina"
"187","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Non-upwelling","ML6231","600","P.meandrina"
"187","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Non-upwelling","ML6232","510","P.meandrina"
"187","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Non-upwelling","ML6233","600","P.meandrina"
"187","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Upwelling","ML5843","36.8","P.meandrina"
"187","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Wet","ML6053","14.5","P.meandrina"
"187","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Upwelling","ML5841","42.2","P.meandrina"
"187","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Wet","ML6051","4.8","P.meandrina"
"187","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Wet","ML6052","56","P.meandrina"
"187","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Upwelling","ML5842","28.5","P.meandrina"
"188","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Non-upwelling","ML6236","570","P.meandrina"
"188","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Upwelling","ML5845","21.7","P.meandrina"
"188","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Wet","ML6055","42.9","P.meandrina"
"188","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Non-upwelling","ML6235","247","P.meandrina"
"188","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Wet","ML6054","465","P.meandrina"
"188","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Upwelling","ML5846","25.8","P.meandrina"
"188","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Non-upwelling","ML6234","540","P.meandrina"
"188","Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Upwelling","ML5844","39.1","P.meandrina"
"188","Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Wet","ML6056","45.4","P.meandrina"
"189","Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Non-upwelling","ML6238","510","P.verrucosa"
